1,37,36,1.0,1.0,Is your planet bigger than the Earth?
36,2,38,1.0,1.0,Is it the same size?
37,2,2,1.25,1.5,Is it bigger than Saturn?
38,2,2,0.5,0.25,Is it bigger than Venus?
2,3,13,5,1,Is your planet home to life?
3,4,5,1.4,1.1,Is your life multicellular?
4,7,6,1.5,1,Does your planet have intelligent life?
7,8,10,1.0,1.0,Is there a dominant life form on your planet?
8,9,9,1.5,1.0,Can they use tools?
9,10,10,0.75,1.0,Do they have a societal structure?
10,11,21,0.45,1.0,Is your planet home to sentient life?
11,12,14,1.0,1.0,Does the dominant species know how to generate electricity/energy?
12,14,14,0.5,1.0,Do their methods pollute or exploit their environment?
5,14,14,1.1,1.0,Do they photosynthesize?
6,14,14,1.25,0.9,Is there life on your planet that lives on land?
13,14,19,1.3,0.8,Does your planet have a magnetosphere?
14,15,20,1.22,0.6,Does your planet have an atmosphere?
15,16,17,1.0,1.0,Does the atmosphere contain at least 20% oxygen?
16,18,17,1.0,1.0,Does your atmosphere contain carbon dioxide?
18,20,17,1.75,1.0,Does your atmosphere contain nitrogen?
17,20,20,1.55,1.0,Does your atmosphere contain high amounts of helium argon or krypton?
19,20,20,1,0.85,Does your planet rotate?
20,21,26,1.0,0.7,Does your planet have a crust?
21,22,39,1.0,0.9,Is the average surface temperature of your planet above 0 degrees Celsius?
22,23,24,1.0,1.0,Is it above 50 degrees Celsius?
23,25,24,0.8,1.0,Is it above 100 degrees Celsius?
25,26,26,0.9,1.0,Is it above 122 degrees Celsius?
24,26,26,1.5,1.0,Does your planet have liquid water?
39,26,26,1.3,0.86,Does your planet have water ice?
26,33,27,0.75,1.0,Is your planet's host star a protostar?
27,28,29,1.05,1.0,Is it a main sequence star?
28,33,33,0.8,1.10,Is your planet's host star a massive star?
29,33,30,1.05,1.0,Is it a neutron star or white dwarf?
30,33,31,0.55,1.0,Is it a red giant or red supergiant?
31,33,32,0.8,1.0,Is it a black or brown dwarf?
32,33,33,0.7,0.3,Is it a pulsar?
33,34,34,1.10,1.0,Does your planet have a moon or moons?
34,35,40,1.0,1.0,Does your planet have rings?
35,40,40,1.10,0.9,Are there or will there be artifical satellites?
40,1,0,1.0,1.0,Play Again?